run_id,start_ts,end_ts,duration_s,num_samples,kp,ki,kd,mse,start_temp_measured,target_temp_measured,delta_temp_measured,cost,tail_mae,overshoot,time_on_wrong_side,max_wrong_side_dev,settle_fraction,tail_start_index,target,start_temp_from_cost,direction,status
run_1775460228_ffb01544,1775460229.6877828,1775461427.8920293,1198.204246520996,294,6.0,981.0,11.0,79.07564853150987,-3.958554744720459,30.0,-33.95855474472046,27.526946488707587,0.3476067535148179,1.3146114349365234,494.86537432670593,1.3146114349365234,0.7727272727272727,52,30.0,-3.958554744720459,-1.0,completed
run_1775463772_0e02ca7e,1775463773.2394805,1775464971.2085154,1197.969034910202,476,6.0,981.0,11.0,27.80704420373654,-9.060152053833008,20.0,-29.060152053833008,24.368506258374126,0.24516233980380994,1.2401962280273438,437.12385392189026,1.2401962280273438,0.8940092165898618,42,20.0,-9.060152053833008,-1.0,completed
run_1775465579_aa8a0ab8,1775465580.9156232,1775466778.8841474,1197.9685242176056,472,6.0,981.0,11.0,450.88219039098396,19.99725341796875,-20.0,39.99725341796875,14.361836566400015,0.7416018486022949,0.8765830993652344,296.81277084350586,0.8765830993652344,0.10714285714285714,332,-20.0,19.99725341796875,1.0,completed
run_1775485413_97f04d0e,1775485414.843196,1775486608.1849205,1193.3417246341705,336,6.0,981.0,11.0,880.8230990134709,23.683202743530273,-20.0,43.68320274353027,12.729608719860298,0.745910889063126,0.8253707885742188,258.5664222240448,0.8253707885742188,0.1282051282051282,297,-20.0,23.683202743530273,1.0,completed
run_1775486766_1a813014,1775486771.816486,1775488266.4261262,1494.6096403598785,432,6.0,981.0,11.0,21.334955794128096,-18.87822914123535,20.0,-38.87822914123535,37.73407622900442,0.23606640100479126,1.5066032409667969,739.9738285541534,1.5066032409667969,0.9158653846153846,16,20.0,-18.87822914123535,-1.0,completed
run_1775491585_f36de38a,1775491587.0244453,1775493084.142217,1497.1177716255188,469,6.0,981.0,11.0,64.79248694170072,-14.210819244384766,25.0,-39.210819244384766,34.020045417050824,0.28896240326295414,1.306182861328125,833.4973170757294,1.306182861328125,0.7831325301204819,54,25.0,-14.210819244384766,-1.0,completed
run_1775493131_ea3709fa,1775493136.6614106,1775494628.4031425,1491.7417318820953,185,6.0,981.0,11.0,186.87089869112938,25.372303009033203,-5.0,30.372303009033203,26.686327162200506,0.6685707903353968,0.9826526641845703,818.0846893787384,0.9826526641845703,0.06542056074766354,78,-5.0,25.372303009033203,1.0,completed
run_1775495459_6fe9c0f8,1775495460.7104967,1775496959.2599037,1498.54940700531,584,6.0,981.0,11.0,10.069772695451872,-5.146799564361572,15.0,-20.146799564361572,12.431964915869909,0.7228368261586064,0.9613914489746094,123.31964540481567,0.9613914489746094,0.2971014492753623,32,15.0,-5.146799564361572,-1.0,completed
run_1775497641_1e7c8d14,1775497642.971825,1775499140.7679014,1497.7960765361786,565,6.0,981.0,11.0,312.98200225314656,14.809318542480469,-23.0,37.80931854248047,21.637376258698474,0.6208796759908514,0.8975334167480469,648.0417120456696,0.8975334167480469,0.41472868217054265,307,-23.0,14.809318542480469,1.0,completed
run_1775499686_bef5117a,1775499688.0026348,1775501185.2783263,1497.2756915092468,565,6.0,981.0,11.0,83.07589725729797,-22.720211029052734,25.0,-47.720211029052734,22.531447234509052,0.21021761536127023,0.8169765472412109,782.3361415863037,0.8169765472412109,0.8715415019762845,59,25.0,-22.720211029052734,-1.0,completed
